Wavenumber,Fit_First,Fit_Last
33861.06,0.7046165538715079,0.5868745231372422
33795.07,0.7174145057510114,0.5963928927207407
33729.33,0.7301646527419217,0.6058729823501154
33663.85,0.7428443470622931,0.6152983697550348
33598.62,0.7554317390266625,0.6246529558017245
33533.64,0.7679002996577634,0.6339168631448793
33468.91,0.78022135489799,0.6430683082163682
33404.44,0.7923630442499006,0.6520828365307445
33340.21,0.804298867259154,0.6609396972457833
33276.23,0.8159975574185492,0.6696143764961018
33212.49,0.8274336743544527,0.6780865306038559
33149.0,0.8385815497373842,0.6863355873880886
33085.74,0.8494252914899965,0.6943482551922677
33022.73,0.8599475412837504,0.7021103166931068
32959.96,0.8701422220614128,0.7096161587588666
32897.43,0.8800079032744305,0.7168639618513822
32835.14,0.8895493613883974,0.7238569278190817
32773.08,0.8987783930685393,0.730603913576429
32711.25,0.9077096279943205,0.7371163674042135
32649.66,0.9163591706828674,0.7434073110164816
32588.3,0.9247468736067139,0.7494929047522692
32527.16,0.9328911149250411,0.7553885068321368
32466.26,0.9408026015465881,0.7611040243954752
32405.59,0.9484900094272222,0.7666477952733954
32345.14,0.9559536862976018,0.7720218080978737
32284.91,0.963182672281656,0.7772193417484184
32224.91,0.9701536079807961,0.7822239857141471
32165.14,0.9768325713354976,0.7870107966655105
32105.58,0.9831761158633503,0.7915469228378441
32046.25,0.989125850216219,0.7957876844661722
31987.13,0.9946188140422206,0.7996840286601347
31928.23,0.9995830077118867,0.8031794641450293
31869.55,1.003944871404635,0.8062156061717584
31811.08,1.0076327287842024,0.8087348940580855
31752.83,1.0105790175651557,0.8106825798370153
31694.79,1.0127270268819948,0.8120118433597329
31636.96,1.014033047511729,0.8126857915019072
31579.34,1.014470536652024,0.8126808122779059
31521.94,1.0140329416399605,0.8119890236826137
31464.74,1.0127348678631283,0.8106191296505684
31407.74,1.0106124957274984,0.808597228447645
31350.96,1.0077241241146286,0.8059674154301828
31294.38,1.0041449153518278,0.8027874197336854
31238.0,0.9999656944081898,0.7991281429468116
31181.82,0.9952875724789284,0.7950693772890371
31125.85,0.9902171697840368,0.790696138229743
31070.08,0.984857557695333,0.7860913021351369
31014.51,0.9793042372981906,0.7813325635337164
30959.13,0.973636877973023,0.7764856693647514
30903.95,0.9679165254232437,0.7716022635877186
30848.97,0.9621776654840261,0.7667132306771978
30794.19,0.9564256519751988,0.7618265221242463
30739.6,0.9506337147772798,0.7569245163459977
30685.2,0.9447449240786284,0.751965483124221
30630.99,0.9386729324107594,0.7468839059217598
30576.98,0.9323068838515834,0.7415942369035716
30523.15,0.9255121105309679,0.7359911294410918
30469.52,0.9181455825409811,0.729961889335193
30416.07,0.9100538072493916,0.7233844389824664
30362.81,0.9010910075933507,0.7161419916783225
30309.74,0.8911228086217534,0.7081258857045066
30256.85,0.8800340405384766,0.6992418999632547
30204.14,0.8677402719397361,0.6894195888013637
30151.62,0.8541954617789491,0.6786185162804613
30099.28,0.8393891149747549,0.6668261743971597
30047.13,0.8233592275818103,0.6540685158609425
29995.15,0.8061778649105498,0.6403986863548328
29943.35,0.7879675610316647,0.6259102856309766
29891.73,0.7688848549895265,0.6107244553080746
29840.29,0.7491167076854909,0.594987189467584
29789.03,0.7288721734825853,0.5788628292519127
29737.94,0.7083687041941334,0.5625232352638446
29687.03,0.6878337842274729,0.5461491297376844
29636.29,0.667478315577551,0.5299088780859204
29585.72,0.6474984890412356,0.5139599259783859
29535.32,0.6280625184547736,0.4984381310551222
29485.1,0.6093065589796787,0.48345438445298783
29435.05,0.591317640494289,0.4690808274485406
29385.17,0.5741417722567923,0.4553571550125696
29335.45,0.557775837392793,0.44228396370899253
29285.91,0.5421821357977491,0.4298341897145971
29236.53,0.5272696091520367,0.4179379477238787
29187.32,0.5129222728910091,0.4065050896791048
29138.27,0.4989914616643767,0.39541890477655445
29089.39,0.4853165540913934,0.3845525641663704
29040.67,0.47172323164228286,0.37376771364781025
28992.11,0.4580417275462635,0.3629290082324945
28943.72,0.44411626246888264,0.35191165005932196
