Wavenumber,Fit_1,Fit_2,Fit_3,Fit_4,Fit_5,Fit_6,Fit_7,Fit_8,Fit_9,Fit_10,Fit_11,Fit_12,Fit_13,Fit_14,Fit_15,Fit_16,Fit_17,Fit_18,Fit_19,Fit_20,Fit_21,Fit_22,Fit_23,Fit_24,Fit_25,Fit_26,Fit_27,Fit_28,Fit_29,Fit_30,Fit_31,Fit_32,Fit_33,Fit_34,Fit_35,Fit_36,Fit_37,Fit_38,Fit_39,Fit_40
45500.95,0.5234006995048549,0.5164753251748528,0.5108886492583272,0.5060684855737655,0.5017128657636851,0.49801882864201863,0.4947001746273183,0.4916907109338685,0.4892752934637459,0.486925621615453,0.48480482164846694,0.4829692627915266,0.4813604252892832,0.4799912359198771,0.47878733977254817,0.47768841287866826,0.4766690823601799,0.47580379750980417,0.47506045537043123,0.4743984314136188,0.4737932791337308,0.4732829302474317,0.4728098728124679,0.47240678149760895,0.4720652219307908,0.4716923765466121,0.4714035165214103,0.47112342837421695,0.47094969107387025,0.47071231920428164,0.47056432073444293,0.4703748069256675,0.4702106966884041,0.4700969116246733,0.46993815564186636,0.4699201754156966,0.46975437004494824,0.4696762429784371,0.4696608896423698,0.46952158476333844
45381.86,0.5393116330651019,0.5319705287644036,0.5260484848945524,0.5209389669582426,0.5163218794484071,0.5124060894118567,0.5088882167166144,0.5056980950264309,0.5031376801328876,0.5006469575684762,0.49839884605613316,0.49645309866736126,0.4947476827080134,0.49329630095025434,0.49202013496071895,0.49085523952512267,0.48977471863245564,0.4888574907637896,0.4880695258226599,0.4873677605916504,0.4867262810422754,0.48618529593077947,0.4856838408750946,0.48525655200317536,0.4848944886279076,0.484499261348794,0.4841930610667209,0.4838961592381759,0.4837119924939695,0.48346037119962987,0.48330348838699655,0.48310259807113076,0.4829286363022566,0.4828080207252631,0.4826397346265468,0.48262067504805,0.482444916386889,0.4823620993553993,0.4823458243591229,0.48219815701323876
45263.4,0.5553609335612728,0.5476531945352696,0.5414353876795606,0.5360706865135504,0.5312230090895086,0.5271116538429302,0.5234180890124931,0.5200686439641795,0.5173803549834813,0.5147652389564777,0.5124048506376733,0.5103619273295608,0.5085713382564448,0.5070474705442201,0.5057075693524792,0.5044844958689293,0.5033500108225815,0.5023869740982043,0.5015596560437136,0.500822842747432,0.5001493259637745,0.49958132258368804,0.4990548234979686,0.49860619465705214,0.49822604885158084,0.4978110828466604,0.4974895900892719,0.4971778601754836,0.4969844956429191,0.4967203076964312,0.4965555897292272,0.49634466640432673,0.4961620165113322,0.49603537706420586,0.4958586862997816,0.49583867483406996,0.49565413830709815,0.4955671851676951,0.4955500973538173,0.495395055098849
45145.55,0.5708469429201352,0.56284799031393,0.5563952624535857,0.5508278722982367,0.5457970400614077,0.5415303497059474,0.5376972347124402,0.5342212410250358,0.5314313831852926,0.5287174629177331,0.5262678944735161,0.5241477854941418,0.5222895444347697,0.5207081019952826,0.5193175766942086,0.5180482930825272,0.5168709449539036,0.5158715228029538,0.5150129470408783,0.5142482954852543,0.513549331909323,0.512959868241424,0.5124134769819804,0.51194789805875,0.5115533895950937,0.511122745356187,0.5107891059684349,0.5104655982837666,0.5102649280578435,0.5099907585697538,0.5098198172329222,0.5096009248088623,0.5094113740427216,0.5092799499075477,0.509096583417606,0.5090758158792568,0.5088843071983866,0.5087940687979038,0.5087763353727202,0.5086154353156132
45028.32,0.5848463508970013,0.5766501299937297,0.5700382664691166,0.5643335746407713,0.5591786731967543,0.5548067587223414,0.5508791123439823,0.547317394513795,0.5444587338529581,0.5416778835189371,0.5391679043910558,0.5369955097802311,0.5350914412147634,0.5334709976119609,0.532046179501356,0.5307455931143118,0.5295392095016914,0.5285151398355638,0.5276353900789886,0.5268518808656619,0.5261356796136093,0.5255316787306932,0.5249718124978888,0.5244947515762197,0.5240905138371651,0.5236492491508282,0.5233073816265816,0.5229758956711091,0.5227702765630401,0.522489345571203,0.5223141885191301,0.5220898978213386,0.5218956723985665,0.5217610071121299,0.5215731184807292,0.5215518387782098,0.5213556071550735,0.5212631433162778,0.5212449725535127,0.521080104416855
44911.69,0.5964622079345753,0.5881662541773219,0.5814739364986262,0.5756998291184258,0.5704822020549954,0.5660570894648846,0.5620816508921267,0.5584765935413879,0.555583148265832,0.5527684601249021,0.5502279391918631,0.5480291105552759,0.546101872995896,0.5444617115905683,0.5430195560779763,0.5417031439593222,0.5404820808886804,0.5394455501881708,0.5385550955036723,0.5377620524318896,0.5370371363348205,0.5364257858779273,0.535859107108235,0.5353762412372114,0.5349670846722883,0.5345204506105956,0.5341744231906751,0.5338389036640259,0.5336307825515912,0.5333464331490111,0.5331691447594713,0.5329421248585903,0.5327455360715364,0.5326092321575534,0.5324190572689054,0.5323975186317514,0.5321988992325842,0.5321053102798314,0.5320869184124802,0.5319200441354327
44795.67,0.6051017005413166,0.5967899093144492,0.5900848156028844,0.5842996851079394,0.5790720972838188,0.5746385368903288,0.5706555089686618,0.5670435693488168,0.5641446003139716,0.561324538765811,0.5587791678270634,0.556576141495704,0.5546452247250868,0.5530019321539911,0.5515570234806682,0.5502380982529084,0.54901470410017,0.5479761946008441,0.5470840399853406,0.5462894829471209,0.5455631829420653,0.5449506653807538,0.5443829047875535,0.5438991170968352,0.5434891794276708,0.5430416927149644,0.5426950047080991,0.5423588446546986,0.54215032622667,0.541865433984152,0.5416878071405219,0.5414603538451346,0.5412633897583824,0.541126825632113,0.5409362876882806,0.5409147079325861,0.5407157093571613,0.5406219417375259,0.5406035147590051,0.5404363219090278
44680.24,0.6107087783481958,0.6024375064920512,0.5957650996190286,0.5900081712096276,0.5848060674915496,0.5803941203787957,0.5764305094252107,0.5728361777452777,0.5699513409711968,0.5671450270156082,0.564612064572921,0.5624197778328477,0.5604982741394275,0.558862992498717,0.5574251276488729,0.5561126320845634,0.5548952018883131,0.5538617550463921,0.5529739496190023,0.5521832659878874,0.5514605066419217,0.550850975058658,0.5502859822565787,0.5498045529952599,0.549396613742073,0.548951308494169,0.5486063105658308,0.5482717892679589,0.548064287351926,0.5477807839381305,0.5476040230122948,0.5473776785349885,0.5471816746336684,0.5470457762474673,0.5468561671620931,0.5468346926061198,0.5466366641341096,0.5465433536247215,0.5465250164763652,0.5463586386792311
44565.4,0.6138306218201924,0.605623067696555,0.5990020617016208,0.5932894817830969,0.5881274524645732,0.583749492780942,0.5798164154994325,0.5762497727491478,0.5733871593115856,0.5706024637920808,0.5680890140224361,0.5659136155605518,0.5640069141684558,0.5623842299178405,0.5609574416580877,0.5596550569017336,0.5584470051774935,0.5574215194920401,0.5565405532726615,0.5557559606719202,0.5550387691016819,0.5544339330442153,0.5538732926634877,0.5533955720918876,0.5529907753982328,0.5525489005587548,0.5522065603215306,0.551874616008063,0.5516687125827835,0.5513873931371851,0.551211993888923,0.5509873930560174,0.5507928990705085,0.5506580475773574,0.5504698991453376,0.5504485900185798,0.5502520870586587,0.5501594953666641,0.5501412994785075,0.5499762033725276
44451.16,0.6154800574349678,0.6073310469708589,0.6007572679469401,0.595085435287434,0.5899602262057733,0.58561349406902,0.58170847103288,0.5781672687872433,0.575325074083926,0.5725602415179794,0.5700647199331921,0.5679048383701272,0.5660117372876289,0.5644006274808563,0.5629840163585114,0.5616909213818654,0.5604914865692863,0.5594733155702689,0.5585986331944843,0.5578196370139915,0.5571075610992178,0.5565070392766238,0.5559503978874438,0.5554760848487179,0.5550741755292377,0.5546354525386256,0.5542955541799427,0.5539659775919358,0.5537615428551161,0.5534822300328789,0.5533080818898446,0.5530850831121303,0.552891976432693,0.5527580868217035,0.5525712804335593,0.5525501233026632,0.5523550219786263,0.5522630907338745,0.5522450246351615,0.5520811061431298
