Wavenumber,Fit_1,Fit_2,Fit_3,Fit_4,Fit_5,Fit_6,Fit_7,Fit_8,Fit_9,Fit_10,Fit_11,Fit_12,Fit_13,Fit_14,Fit_15,Fit_16,Fit_17,Fit_18,Fit_19,Fit_20,Fit_21,Fit_22,Fit_23,Fit_24,Fit_25,Fit_26,Fit_27,Fit_28,Fit_29,Fit_30,Fit_31,Fit_32,Fit_33,Fit_34,Fit_35,Fit_36,Fit_37,Fit_38,Fit_39,Fit_40,Fit_41,Fit_42,Fit_43,Fit_44,Fit_45,Fit_46,Fit_47,Fit_48,Fit_49,Fit_50,Fit_51,Fit_52,Fit_53,Fit_54
39136.33,0.28858316539671075,0.2779501693564734,0.26837395168907036,0.2595654383796939,0.2516212508866424,0.2441858547338288,0.23768624302481295,0.23147882777249318,0.2260099301542446,0.22103902067169373,0.21655220357564775,0.2125515134853764,0.20899020214091318,0.20570687396408027,0.20289146300149768,0.20023437864757607,0.19797250314648074,0.1959826163196156,0.19414198741766797,0.19254968863874872,0.19110647612815224,0.18985328403243892,0.18876740907937173,0.18780445095657972,0.18700082358091621,0.18617923129060934,0.18552725397591605,0.18490821478379693,0.18433868459272687,0.18396781878341875,0.18351125787314215,0.18308503717989585,0.18281946720602163,0.18246846788725635,0.18225850290500603,0.1820196409247346,0.1818897043575414,0.18168712478792134,0.18158845356792333,0.1813965727237007,0.18130968157882635,0.18115577655236065,0.18114611619895216,0.18106470590536153,0.1809875485669767,0.18090795626580328,0.18083000370103403,0.18075639930360915,0.18068815541489966,0.18071133590681412,0.18068588625648294,0.18067484569422357,0.18064762794710038,0.18062922658873745
39048.19,0.29472430393849997,0.2834507511412698,0.27329763953822755,0.2639584806141974,0.2555357165319856,0.24765239458021757,0.24076123093397866,0.23417986634806687,0.22838150944013036,0.22311114064757903,0.2183540271085186,0.21411232601248179,0.21033647287407656,0.2068553492648804,0.20387033130639853,0.20105317792486102,0.1986550417094552,0.19654527940743935,0.19459376667972925,0.19290554406728944,0.19137538903156265,0.19004670168863197,0.18889541106760022,0.18787444207657114,0.1870224022926233,0.18615131534520782,0.18546006137953552,0.18480372980661847,0.18419988977372956,0.18380668213346515,0.18332261691725732,0.18287071968430424,0.1825891511489168,0.1822170068034362,0.1819943930354999,0.18174114144623474,0.18160337719380762,0.18138859375317531,0.18128397834619073,0.18108053814740435,0.18098841247504957,0.18082523584683918,0.1808149935309596,0.18072867888929522,0.18064687341088786,0.1805624862817912,0.18047983767068668,0.18040179917078147,0.18032944410927831,0.18035402104869167,0.18032703825140722,0.1803153325796407,0.18028647517124385,0.18026696527165773
38960.46,0.3007366551986638,0.28882385928212445,0.27809503682301395,0.26822632051900785,0.2593259613004658,0.25099563214470383,0.243713719546105,0.23675917251248751,0.2306320319616866,0.22506281798275457,0.22003596231782546,0.21555374447533104,0.21156378951989785,0.20788527611223545,0.2047309989836149,0.20175410483999665,0.19921998735032553,0.19699059541076783,0.19492842625505574,0.19314447652728017,0.19152755726596649,0.19012352949957223,0.18890695736338223,0.18782809647134538,0.18692774356206227,0.18600726345993582,0.18527681339085242,0.18458326591541385,0.18394518640246657,0.18352968274931075,0.18301816963231038,0.18254064851645224,0.1822431142289991,0.181849868220492,0.18161463160668131,0.18134701991827046,0.18120144403342947,0.18097448174917657,0.18086393434539458,0.18064895849767795,0.18055160903268,0.1803791798166926,0.1803683567318159,0.18027714779979143,0.18019070371365015,0.18010153158974276,0.18001419656283665,0.179931733053797,0.17985527525058984,0.17988124577370268,0.17985273297360424,0.17984036355632035,0.179809869849226,0.17978925368178503
38873.11,0.3065599953495849,0.294015077741695,0.2827169580792609,0.2723245838795558,0.26295195012846345,0.2541795936104989,0.2465112851615605,0.2391877130842618,0.23273545167390375,0.22687072176533446,0.22157712901136667,0.21685707387664896,0.2126554022853806,0.2087816980817709,0.2054600473989066,0.20232519207017124,0.1996566081928549,0.19730891933850161,0.19513732651233534,0.19325871610816556,0.1915559992099747,0.19007747034303163,0.1887963439542744,0.18766023610051802,0.18671210829373683,0.18574278529670252,0.1849735757847183,0.1842432270070265,0.18357128945573403,0.1831337381763253,0.18259508293929438,0.18209222340099313,0.1817789012264363,0.18136478863599867,0.18111706979994296,0.18083525798972286,0.18068195749722551,0.18044295204661606,0.18032653873089008,0.1801001557460572,0.17999764068358762,0.17981606195740865,0.17980466457353733,0.17970861587553502,0.1796175848576339,0.1795236810457012,0.17943171181156878,0.17934487258979354,0.1792643577510912,0.17929170633281516,0.17926168057475544,0.1792486548063488,0.17921654302958892,0.17919483291856636
38786.16,0.31213644345613717,0.2989723104254168,0.2871165171167592,0.27621117674338735,0.2663759110681468,0.25717055222842317,0.24912373711989397,0.24143867452330936,0.2346679303693966,0.2285137181921006,0.222958834421492,0.21800579800882713,0.21359673248064315,0.20953182276565963,0.20604621585794203,0.20275662449756665,0.1999563196838839,0.1974927492277488,0.1952139668757442,0.19324262851814247,0.19145586574599463,0.1899043568957525,0.1885599942831069,0.18736780830057892,0.18637288103451674,0.18535571238650017,0.18454853479787361,0.18378213610408606,0.18307703180686954,0.18261788305596216,0.18205263986986825,0.18152495925331313,0.18119617153893658,0.1807616184074924,0.18050167220346144,0.18020595020070931,0.1800450828168023,0.17979428008973528,0.17967212062861612,0.17943456341051553,0.17932698821853865,0.17913644679119084,0.17912448683400548,0.17902369718536443,0.17892817288883028,0.17882963399754287,0.17873312517455214,0.17864199958062918,0.1785575105404654,0.1785862090444547,0.1785547012190707,0.17854103250051137,0.17850733569082855,0.17848455397168572
38699.6,0.31741791351333837,0.3036524107924456,0.29125501594176945,0.2798514930336075,0.2695669284445623,0.2599410463709538,0.2515266331306374,0.24349049813894114,0.23641044988542892,0.2299750982922915,0.22416645388858394,0.21898715069739702,0.21437666830686092,0.2101260636061026,0.20648122567714983,0.20304135776361548,0.20011312819907653,0.19753701583847522,0.19515413315310287,0.19309273925332687,0.19122435280173197,0.18960196724472975,0.1881961908704669,0.1869495429257825,0.18590916495663648,0.1848455295649853,0.18400147813626203,0.18320006848171042,0.18246275330119704,0.18198262951597244,0.1813915646431104,0.18083977828953887,0.18049597075080578,0.180041566172904,0.1797697449925404,0.17946051368775093,0.17929229748956246,0.17903003748248172,0.17890229747936154,0.17865388806838856,0.17854139857938062,0.1783421527551035,0.17832964643791632,0.1782242524724065,0.17812436439312446,0.1780213240050514,0.17792040642374404,0.17782511799053222,0.17773676928503476,0.17776677880665148,0.17773383162698977,0.1777195384880432,0.17768430232594334,0.17766047988232972
38613.42,0.3223662571356439,0.3080212943417209,0.2951020300416527,0.28321847481275786,0.2725009805538934,0.2624698961100955,0.25370127738890413,0.24532686057317388,0.23794877705271777,0.2312425287564418,0.2251893689450063,0.2197920425209406,0.21498748146020308,0.21055794717290766,0.20675967946406837,0.20317501000185065,0.20012351635086886,0.19743896230914082,0.1949557719631705,0.1928076035020924,0.19086056715505656,0.18916988713235952,0.1877049344753985,0.186405808773547,0.18532163600037502,0.18421322678140925,0.1833336449320071,0.18249849986608918,0.18173014733684914,0.18122981269777555,0.18061386689601908,0.18003885304634948,0.1796805728984032,0.17920704011899402,0.17892377660163633,0.1786015281773061,0.1784262309031509,0.17815293103752397,0.17801981380750276,0.17776094758007036,0.17764372283592234,0.17743608974078212,0.17742305696905,0.17731322643509884,0.17720913355815052,0.17710175567568961,0.1769965899597358,0.176897290351372,0.1768052225991839,0.1768364953743076,0.17680216128015974,0.1767872664702458,0.17675054703873858,0.17672572178722198
38527.62,0.3269540807797172,0.3120546658176943,0.2986360545200541,0.2862931838467032,0.2751614439732776,0.2647426445804655,0.25563510691392377,0.24693700758839843,0.23927375118439387,0.2323082973425126,0.22602117473664396,0.22041523436350383,0.21542497053482168,0.21082422877041074,0.20687915288950132,0.2031559311156603,0.1999864931175906,0.19719817743979556,0.1946190084363057,0.1923878103656149,0.19036551843656804,0.1886094913497054,0.1870879162958456,0.1857385776326659,0.18461250011890198,0.18346124938801134,0.18254767051328202,0.18168024596367857,0.18088219557242088,0.18036252232442965,0.17972276938632006,0.1791255304754762,0.17875340231637302,0.17826156685608682,0.1779673548215668,0.17763265106081616,0.17745057831048067,0.177166715036275,0.1770284526456942,0.17675958088927507,0.17663782525059063,0.1764221668561573,0.17640863035021223,0.17629455471792602,0.17618643851082783,0.1760749103283214,0.1759656798155425,0.17586254214332736,0.17576691584828721,0.1757993973583668,0.17576373620515204,0.17574826569073693,0.17571012700365524,0.17568434222267001
38442.21,0.33116417654690955,0.315737495641638,0.30184402162214125,0.2890643569293898,0.27753868297604756,0.2667511793016666,0.25732134076286506,0.24831542991876449,0.24038098339578462,0.23316903352708246,0.22665941992814115,0.22085509448779042,0.21568823337851734,0.21092467888271804,0.20683999321438828,0.20298501270736805,0.19970341347881515,0.19681642386652842,0.194145982287512,0.19183582576386748,0.1897419682287743,0.18792379821343527,0.18634837710534838,0.1849512875522971,0.18378535999583154,0.18259336838322937,0.18164745944531677,0.18074933815865957,0.17992304606842385,0.17938498243356293,0.1787225896846139,0.1781042154648688,0.1777189182984375,0.17720967758508924,0.17690505386754063,0.1765585054877515,0.17636998948036933,0.17607608074884815,0.1759329254782468,0.1756545387898238,0.17552847441808905,0.1753051842255583,0.17529116868479247,0.17517305610232986,0.17506111383937234,0.17494563885677356,0.17483254285467859,0.17472575530881646,0.17462674495549066,0.17466037593312275,0.17462345278998187,0.1746074347993473,0.1745679464464653,0.1745412491842248
38357.17,0.3349878958888189,0.3190624866786093,0.3047198513139085,0.29152703355543735,0.27962874673291627,0.26849249445505585,0.2587577991930762,0.24946073676055017,0.2412697779593086,0.23382467336630752,0.22710461083308556,0.2211126376799215,0.21577873740657277,0.21086118222366795,0.20664444298062046,0.20266483502420646,0.1992771451575706,0.19629682221943426,0.1935400480838351,0.19115520663903002,0.18899365690069025,0.18711670736852534,0.18549035455947022,0.18404809857632817,0.1828444778130421,0.18161395037020506,0.1806374611950964,0.1797103045955502,0.17885729935450276,0.17830184069045762,0.17761803348334257,0.17697966787800226,0.176581914461008,0.17605621053309445,0.17574173865240367,0.1753839867294096,0.17518937619855912,0.17488596570808032,0.17473818237873523,0.17445079574261857,0.17432065584285453,0.174090146914167,0.17407567826576692,0.17395374722822607,0.17383818599010475,0.17371897782324633,0.17360222554681945,0.1734919856723545,0.17338977441884876,0.1734244926504774,0.17338637582110522,0.1733698399857465,0.1733290750161108,0.1733015146595712
