Wavelength [nm]	Abs_Stable	Abs_PSS	EpsilonAvg_Stable	EpsilonPlusError_Stable	EpsilonMinusError_Stable	Abs_Metastable_before_rescaling	Abs_Metastable_rescaled	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable	EpsilonAvg_Stable * total_conc_avg	EpsilonAvg_Metastable * total_conc_avg
441.217	0.8445083188908149	0.6457036395147315	17592.369349271718	17679.552548127325	17505.18615041611	0.3163453951473137	0.5185990084382192	10779.677725110147	10837.72006833225	10721.635381888049	0.8463504692129383	0.5185990084382192
441.794	0.8392	0.642	17488.0921088207	17562.318603429398	17413.865614212	0.31471200000000005	0.5159213114754099	10724.01870950285	10781.761361048666	10666.276057957042	0.8413338003588591	0.5159213114754099
442.371	0.8275	0.6358	17194.445943908497	17270.326169346412	17118.56571847058	0.313075	0.5132377049180328	10668.236856165653	10725.679154624899	10610.794557706413	0.8272067908286556	0.5132377049180328
442.948	0.8245	0.6339	17185.197176196412	17264.744296109886	17105.65005628294	0.312345	0.5120409836065574	10643.361625294452	10700.669984991819	10586.053265597091	0.8267618422979968	0.5120409836065574
443.524	0.8160147313691504	0.6294077989601384	17027.874528162494	17098.143955279767	16957.60510104522	0.3111620537261698	0.5101017274199505	10603.051951774245	10660.143267143823	10545.960636404674	0.8191932144265702	0.5101017274199505
444.101	0.8066	0.6266	16843.813697886322	16914.258074649097	16773.369321123548	0.312026	0.5115180327868853	10632.491490160328	10689.741320453531	10575.24165986713	0.8103382406038196	0.5115180327868853
444.678	0.7996	0.6226	16699.35568272763	16768.686825255365	16630.024540199895	0.31075600000000003	0.5094360655737705	10589.215403576183	10646.23221711927	10532.198590033106	0.8033885167500403	0.5094360655737705
445.254	0.7902162911611781	0.6160114384748697	16463.22288334572	16533.154549893236	16393.291216798203	0.3078270849220103	0.5046345654459184	10489.410692936275	10545.890115713339	10432.931270159215	0.7920284150158349	0.5046345654459184
445.831	0.7821	0.6117	16308.851389268095	16376.867844459612	16240.834934076578	0.306681	0.502755737704918	10450.357094260922	10506.626235948313	10394.087952573536	0.7846017640712247	0.502755737704918
446.408	0.7736	0.6073	16116.3791951101	16178.594858781553	16054.163531438646	0.305596	0.5009770491803278	10413.385004541398	10469.455072863531	10357.314936219273	0.7753421283392813	0.5009770491803278
446.985	0.7632	0.6028	15900.25092640621	15968.830624634935	15831.671228177485	0.305152	0.5002491803278688	10398.255412066314	10454.244016264782	10342.266807867849	0.764944423630149	0.5002491803278688
447.561	0.7546	0.5972	15707.43860855152	15781.161248191838	15633.715968911201	0.3029059999999999	0.49656721311475394	10321.721482563962	10377.297995722458	10266.14496940547	0.7556684249032858	0.496567213114754
448.138	0.745	0.592	15515.312843062684	15585.685069333644	15444.940616791724	0.30144999999999994	0.49418032786885235	10272.107323456474	10327.416693002237	10216.797953910716	0.7464254554918857	0.49418032786885235
448.715	0.7357	0.5866	15368.20577949469	15431.696329520111	15304.71522946927	0.29967699999999997	0.49127377049180326	10211.691180532314	10266.675244016691	10156.707117047943	0.7393482886928346	0.49127377049180326
449.291	0.726715597920277	0.582307452339688	15214.416383689584	15274.170082881572	15154.662684497596	0.29888836915077993	0.4899809330340655	10184.818064852177	10239.657432118029	10129.978697586334	0.7319496418866264	0.4899809330340654
449.868	0.7162	0.5771	14977.652864069756	15038.623629023212	14916.6820991163	0.29778199999999994	0.48816721311475403	10147.117807243376	10201.754180380136	10092.481434106621	0.7205591968621735	0.48816721311475403
450.445	0.707	0.5716	14798.450215364139	14855.87002200559	14741.030408722687	0.29587	0.4850327868852459	10081.965147756071	10136.250711423361	10027.679584088786	0.7119379450679985	0.4850327868852459
451.022	0.6965	0.5652	14587.29679412434	14644.343001781384	14530.250586467297	0.293565	0.4812540983606558	10003.42075438879	10057.283401828503	9949.558106949082	0.701779575061424	0.4812540983606558
451.598	0.6858	0.5594	14347.90157828687	14409.476712961377	14286.326443612363	0.29193800000000003	0.4785868852459017	9947.979657638869	10001.543786769573	9894.415528508169	0.6902625218874714	0.4785868852459017
452.175	0.6758	0.5539	14144.86831721046	14205.426225262607	14084.310409158312	0.29033799999999993	0.4759639344262294	9893.458603674591	9946.729168395697	9840.18803895349	0.6804948042841023	0.4759639344262294
452.752	0.6643	0.5471	13900.463814441207	13960.042814016428	13840.884814865987	0.28802300000000003	0.47216885245901646	9814.573453720037	9867.419267436006	9761.727640004072	0.6687367595608613	0.4721688524590165
453.328	0.6554154246100525	0.5422084922010402	13701.526865163976	13761.71981349022	13641.333916837733	0.28659647660311965	0.4698302895133109	9765.963729280902	9818.547807685132	9713.379650876675	0.6591661112290864	0.4698302895133109
453.905	0.646	0.5364	13504.25501889713	13561.81264434844	13446.697393445822	0.28446	0.466327868852459	9693.161881673343	9745.35396414469	9640.969799202001	0.6496755692596865	0.466327868852459
454.482	0.6351	0.5299	13279.828048940473	13339.501325324358	13220.154772556589	0.282211	0.46264098360655737	9616.52572519481	9668.305166192917	9564.746284196708	0.6388786227224813	0.46264098360655737
455.058	0.6266147313691514	0.5244095320623919	13094.421541296359	13158.946290406642	13029.896792186075	0.2800297868284229	0.45906522430889	9542.199449547848	9593.578686447878	9490.82021264782	0.6299589097705574	0.4590652243088901
455.635	0.6158	0.5183	12882.78116077088	12946.831570388586	12818.730751153176	0.278138	0.4559639344262295	9477.735567197005	9528.767703294929	9426.703431099086	0.6197771126626221	0.4559639344262295
456.212	0.6051	0.5138	12670.961270344262	12725.181714226612	12616.740826461912	0.27781100000000003	0.45542786885245906	9466.592826793058	9517.564965664771	9415.62068792135	0.6095866795212997	0.45542786885245906
456.789	0.5923	0.5048	12390.878553544673	12443.683852928238	12338.073254161109	0.273803	0.4488573770491804	9330.017586612552	9380.254346638223	9279.780826586886	0.5961121932781162	0.4488573770491804
457.365	0.5825169844020793	0.49891022530329265	12199.91955723212	12254.807174322103	12145.031940142138	0.2717286013864817	0.44545672358439625	9259.331087393148	9309.187241416163	9209.474933370137	0.5869253559101154	0.4454567235843963
