Wavelength [nm],Epsilons_averaged,Error_averaged
358.171,5319.017676303456,25.49630211479043
358.748,5456.885387219492,24.23319192403744
359.325,5649.245067113765,25.45453656715774
359.901,5796.79270139546,27.681763263858254
360.478,5928.098123190854,29.845168697012827
361.055,6073.397269720941,29.162431730068345
361.632,6248.353685826792,29.724570896404654
362.208,6417.565999148263,31.98475272473118
362.785,6582.422549726733,30.25480340311576
363.362,6732.5831419468595,27.705239905781617
363.938,6894.891581803385,29.12246295319587
364.515,7070.662680909058,28.054527586843342
365.092,7232.182165223243,30.48403323207049
365.669,7403.876152179309,30.502000000942175
366.245,7601.826066048237,29.324346641140785
366.822,7785.771359768092,31.246022997515265
367.399,7958.62139885972,32.811664715660875
367.975,8157.495576644312,33.14876325793317
368.552,8350.433294775952,31.658516707287554
369.129,8516.778417513084,32.24892946352589
369.706,8690.811519142311,34.1385478386225
370.282,8849.232860683709,35.386612689693145
370.859,9013.247340464119,36.81412664645521
371.436,9211.916543119693,34.414683162461124
372.012,9373.072565204811,38.77805619823908
372.589,9574.333179862093,39.86803110782575
373.166,9756.289260051451,41.21176679659225
373.743,9949.262820223126,45.17001464015588
374.319,10070.916578389119,42.523535703239304
374.896,10306.058579030367,50.408591057189184
375.473,10421.397455598024,43.47732209307365
376.049,10619.45593052379,45.079715025032876
376.626,10835.345019557433,46.16263361883464
377.203,11038.842997429105,50.88330828802732
377.779,11197.939069027489,46.12952950017173
378.356,11390.913287566305,45.15314139123961
378.933,11569.534451654115,56.194484156885785
379.51,11753.316308695905,51.198791422416654
380.086,11932.317745149805,51.43604750166527
380.663,12111.277078799403,55.401751990418674
381.24,12246.611855499901,53.70568006896927
381.816,12402.10693432765,55.783015914283126
382.393,12578.314442595261,47.934829402285864
382.97,12754.11659353034,50.84460603025582
383.547,12909.182172125036,60.649584829539606
384.123,13055.545282963916,59.64607815387666
384.7,13218.437931816701,58.14456908995111
385.277,13402.038069824133,57.304409578356776
385.853,13571.332003199146,57.179188858913164
386.43,13744.045228067576,59.613443674707824
387.007,13924.9171873851,58.03947075785694
387.584,14054.925558155855,56.11689075986228
388.16,14209.740507713423,57.16951875332888
388.737,14405.869075270235,60.750437843526555
389.314,14543.063938455101,65.98965145005897
389.89,14728.288664284657,67.26233116234535
390.467,14861.899629772393,67.754988628251
391.044,15087.57226339994,67.21566130336429
391.62,15214.688591993661,64.27578907262362
392.197,15364.150148012895,63.756171554970095
392.774,15491.25806120225,65.49966629642009
393.351,15685.546230673854,66.25778910166558
393.927,15755.9899283293,65.34208410879855
394.504,15949.514200471604,63.74933720323067
395.081,16019.7281957864,67.75409713333798
395.657,16262.89109554488,64.10453793469914
396.234,16387.23540517153,66.75266128363293
396.811,16464.057452498713,66.00202663437237
397.388,16655.171316775013,71.14234957817546
397.964,16854.67536318692,76.01250721364808
398.541,16942.72719976065,64.58590516602318
399.118,17092.33393856595,67.5089563378626
399.694,17177.225796362556,72.721699648265
400.271,17287.3170931053,76.77500753404735
400.848,17490.181166877843,79.85759061533564
401.425,17537.3230926922,76.27220624886759
402.001,17631.829753570626,72.04550305586335
402.578,17773.740621829023,72.9756671931003
403.155,17812.96693522781,77.30868646555068
403.731,17989.64495793536,73.90247499933626
404.308,18154.63784317298,77.7923547270712
404.885,18233.4954168319,81.43659176670002
405.462,18228.41608688401,82.85759215532022
406.038,18267.65502962492,81.50523437416098
406.615,18395.132514245764,78.84304775826043
407.192,18501.54262945158,80.13194634282411
407.768,18595.308768985466,79.79037021366615
408.345,18691.234414820847,74.2356066845682
408.922,18771.60429935645,71.56962060405003
409.498,18812.91422155413,78.3599033920764
410.075,18885.624101894246,77.82146624102353
410.652,18923.581561765004,73.82944670439257
411.229,19017.91837381264,82.17639720861999
411.805,19051.705621367222,78.76374557628002
412.382,19031.801812367787,82.86605376279809
412.959,19113.879750981185,76.50230535737695
413.535,19187.675415551388,80.05858467724747
414.112,19149.277525181784,88.3171081022718
414.689,19258.461124141868,83.55103475869566
415.266,19289.65713634061,83.89695902632859
415.842,19436.34910425229,89.30176698572274
416.419,19381.93072380811,85.11897230071193
416.996,19559.18926680718,86.17021039934941
417.572,19412.55967392305,87.16449110074878
418.149,19607.261976023005,84.84560336244316
418.726,19526.679281344022,87.38517552648919
419.303,19625.619955046892,86.57802471229854
419.879,19673.703760660406,79.74649023735063
420.456,19761.84881610502,81.02190845993879
421.033,19775.25340983413,80.41211511262571
421.609,19777.46969632401,79.68593046449867
422.186,19687.66005671764,86.68580847456879
422.763,19796.77263955217,83.14782099259936
423.339,19698.81822686461,78.74494030180395
423.916,19648.010070777087,82.51983700139156
424.493,19687.264752523035,83.74066935741908
425.07,19690.443373212296,78.91118717794032
425.646,19554.42127898326,75.15847100176182
426.223,19519.1789172096,76.65314977181181
426.8,19647.660345036817,83.38602519089882
427.376,19644.19032084363,78.42694033272488
427.953,19579.84522722131,78.46548823519103
428.53,19554.225935830233,82.36141223849472
429.107,19520.911793865187,83.2973163300166
429.683,19501.186492058736,81.87992719887717
430.26,19449.639945221137,78.59381003221391
430.837,19370.886294887783,83.31568775171813
431.413,19222.90841998707,80.57654298071073
431.99,19159.16445657542,79.97260584495046
432.567,19142.070219366902,77.30503867040846
433.144,19049.21182405554,78.63473871194326
433.72,19060.609164435475,81.54048795425634
434.297,18914.773770818316,80.0587096630641
434.874,18865.738896681305,85.93573597345834
435.45,18780.80718145623,87.43793834264945
436.027,18638.898716141273,86.65351793030413
436.604,18564.662251424885,87.86101810052133
