Wavelength [nm],Epsilons_averaged,Epsilons_averaged_plus_error,Epsilons_averaged_minus_error
431.99,19159.16445657542,19239.13706242037,19079.191850730473
432.567,19142.070219366902,19219.37525803731,19064.765180696493
433.144,19049.21182405554,19127.84656276748,18970.577085343597
433.72,19060.609164435475,19142.14965238973,18979.06867648122
434.297,18914.773770818316,18994.83248048138,18834.715061155253
434.874,18865.738896681305,18951.67463265476,18779.80316070785
435.45,18780.80718145623,18868.24511979888,18693.369243113582
436.027,18638.898716141273,18725.552234071576,18552.24519821097
436.604,18564.662251424885,18652.523269525405,18476.801233324364
437.181,18368.548030742695,18448.35908405997,18288.73697742542
437.757,18317.445888547118,18389.456646044255,18245.43513104998
438.334,18218.28605106467,18301.142440844633,18135.42966128471
438.911,18111.609004265254,18191.332941179742,18031.885067350766
439.487,17815.10737987813,17898.370197827066,17731.844561929192
440.064,17657.534060911068,17737.138690577594,17577.92943124454
440.641,17764.362221782383,17843.968187927145,17684.75625563762
441.217,17592.369349271718,17679.552548127325,17505.18615041611
441.794,17488.0921088207,17562.318603429398,17413.865614212
442.371,17194.445943908497,17270.326169346412,17118.56571847058
442.948,17185.197176196412,17264.744296109886,17105.65005628294
443.524,17027.874528162494,17098.143955279767,16957.60510104522
444.101,16843.813697886322,16914.258074649097,16773.369321123548
444.678,16699.35568272763,16768.686825255365,16630.024540199895
445.254,16463.22288334572,16533.154549893236,16393.291216798203
445.831,16308.851389268095,16376.867844459612,16240.834934076578
446.408,16116.3791951101,16178.594858781553,16054.163531438646
446.985,15900.25092640621,15968.830624634935,15831.671228177485
447.561,15707.43860855152,15781.161248191838,15633.715968911201
448.138,15515.312843062684,15585.685069333644,15444.940616791724
448.715,15368.20577949469,15431.696329520111,15304.71522946927
449.291,15214.416383689584,15274.170082881572,15154.662684497596
449.868,14977.652864069756,15038.623629023212,14916.6820991163
450.445,14798.450215364139,14855.87002200559,14741.030408722687
451.022,14587.29679412434,14644.343001781384,14530.250586467297
451.598,14347.90157828687,14409.476712961377,14286.326443612363
452.175,14144.86831721046,14205.426225262607,14084.310409158312
452.752,13900.463814441207,13960.042814016428,13840.884814865987
453.328,13701.526865163976,13761.71981349022,13641.333916837733
453.905,13504.25501889713,13561.81264434844,13446.697393445822
454.482,13279.828048940473,13339.501325324358,13220.154772556589
455.058,13094.421541296359,13158.946290406642,13029.896792186075
455.635,12882.78116077088,12946.831570388586,12818.730751153176
456.212,12670.961270344262,12725.181714226612,12616.740826461912
456.789,12390.878553544673,12443.683852928238,12338.073254161109
457.365,12199.91955723212,12254.807174322103,12145.031940142138
457.942,12026.743590935417,12082.697202377485,11970.78997949335
458.519,11816.439296076966,11867.949735814245,11764.928856339686
459.095,11538.306228281173,11580.710532303125,11495.901924259222
459.672,11345.154926345514,11397.000864337233,11293.308988353796
460.249,11141.568305524905,11191.513884493123,11091.622726556687
460.826,10955.399594323073,11006.279453429059,10904.519735217087
461.402,10729.327703350715,10773.062396198007,10685.593010503422
461.979,10441.145490344283,10483.172602989407,10399.118377699158
462.556,10218.153448098692,10257.627217061397,10178.679679135987
463.132,9992.19394708632,10034.091157097,9950.29673707564
463.709,9834.930156855737,9873.803898964126,9796.056414747347
464.286,9596.796037046764,9637.568213239458,9556.023860854071
464.863,9396.853353655995,9435.534860000384,9358.171847311607
465.439,9205.17195789104,9241.083712022646,9169.260203759433
466.016,8991.758756983445,9035.873319134787,8947.644194832103
466.593,8746.208035446523,8779.411636175651,8713.004434717395
467.169,8550.829136640197,8582.964764377051,8518.693508903343
467.746,8328.781732572292,8358.421609392624,8299.14185575196
468.323,8162.033727351444,8195.249114584776,8128.818340118112
468.9,7890.378555449319,7924.595960634621,7856.161150264016
469.476,7671.232373540614,7704.954845535504,7637.5099015457245
470.053,7472.043013847565,7504.559805532773,7439.526222162357
470.63,7233.591934630512,7268.03354681956,7199.150322441464
471.206,7010.933244288188,7039.23340644356,6982.633082132816
471.783,6832.261379481089,6860.005192404829,6804.517566557348
472.36,6642.769398579979,6673.150368126813,6612.388429033144
472.936,6459.112938327445,6489.2257255638015,6429.000151091088
473.513,6233.6557387865205,6261.412570441282,6205.898907131759
474.09,6011.330504969512,6038.039972636617,5984.621037302407
474.667,5829.393471913923,5855.250605455828,5803.536338372019
475.243,5648.535143707528,5674.640093374797,5622.430194040258
475.82,5444.654679589113,5474.527314832578,5414.782044345648
476.397,5252.6919063473015,5281.009803967833,5224.37400872677
476.973,5057.278805780275,5079.685545125401,5034.8720664351495
477.55,4861.997519010393,4881.9280305396005,4842.067007481186
478.127,4693.086269135841,4714.2198274881575,4671.952710783524
