Wavelength [nm]	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable
452.175	9893.458603674591	9946.729168395697	9840.18803895349
452.752	9814.573453720037	9867.419267436006	9761.727640004072
453.328	9765.963729280902	9818.547807685132	9713.379650876675
453.905	9693.161881673343	9745.35396414469	9640.969799202001
454.482	9616.52572519481	9668.305166192917	9564.746284196708
455.058	9542.199449547848	9593.578686447878	9490.82021264782
455.635	9477.735567197005	9528.767703294929	9426.703431099086
456.212	9466.592826793058	9517.564965664771	9415.62068792135
456.789	9330.017586612552	9380.254346638223	9279.780826586886
457.365	9259.331087393148	9309.187241416163	9209.474933370137
457.942	9221.725143176012	9271.37881089312	9172.07147545891
458.519	9168.124131997385	9217.489189204307	9118.759074790469
459.095	9051.855385928126	9100.594403040208	9003.116368816047
459.672	8972.870607487828	9021.184337152878	8924.556877822783
460.249	8907.717948000523	8955.680868196105	8859.755027804948
460.826	8832.51296918855	8880.070953976641	8784.954984400463
461.402	8760.057606658565	8807.225461135948	8712.889752181187
461.979	8637.327595996452	8683.834620198184	8590.820571794724
462.556	8539.734909400402	8585.716453308954	8493.753365491853
463.132	8452.95855737504	8498.472860709591	8407.444254040493
463.709	8416.244722171321	8461.561342692134	8370.928101650512
464.286	8329.385868074487	8374.23480379526	8284.536932353718
464.863	8180.441163775835	8224.48811822514	8136.394209326536
465.439	8190.254953489405	8234.354749532436	8146.155157446378
466.016	8070.581240037824	8114.036662201788	8027.1258178738635
466.593	7958.370095847602	8001.221325761063	7915.518865934146
467.169	7866.423220298985	7908.779369353362	7824.067071244612
467.746	7787.310289034692	7829.24046061304	7745.380117456348
468.323	7721.169435444282	7762.743476698237	7679.595394190331
468.9	7579.039862891167	7619.848618424852	7538.2311073574865
469.476	7500.495469523885	7540.881308829993	7460.10963021778
470.053	7407.162240268794	7447.045534001223	7367.278946536369
470.63	7268.201703977351	7307.336775420817	7229.066632533888
471.206	7176.016712213836	7214.655420679827	7137.378003747849
471.783	7085.931005443038	7124.084654369668	7047.777356516412
472.36	6979.37642060161	7016.956334585234	6941.796506617991
472.936	6892.191869350737	6929.302344843116	6855.0813938583615
473.513	6790.903952178861	6827.469050694056	6754.33885366367
474.09	6674.876334211141	6710.81669096716	6638.935977455124
474.667	6574.898351504153	6610.300384524073	6539.496318484236
475.243	6473.018628134521	6507.872097642434	6438.165158626612
475.82	6356.984513940695	6391.213206711005	6322.75582117039
476.397	6246.954211909046	6280.5904550052355	6213.317968812859
476.973	6150.721244492446	6183.839328598497	6117.603160386399
477.55	6044.101815503218	6076.645815517949	6011.557815488491
478.127	5927.426760019674	5959.342532197865	5895.510987841485
478.704	5828.368820098334	5859.751222439838	5796.986417756833
479.28	5745.190137144088	5776.1246702831995	5714.255604004979
479.857	5638.737779278842	5669.099127908214	5608.376430649473
480.434	5532.455799707236	5562.244881215649	5502.666718198827
481.01	5436.392915301282	5465.6647536184055	5407.121076984161
481.587	5360.03296654522	5388.89365060828	5331.172282482164
482.164	5234.225634522658	5262.408918710571	5206.042350334747
482.741	5129.44298393507	5157.062074023287	5101.823893846855
483.317	5001.55703673012	5028.487534800075	4974.626538660167
483.894	4897.932958539272	4924.305500753235	4871.560416325311
484.471	4767.218731659925	4792.887453201878	4741.550010117974
485.047	4672.482494736904	4697.64111631861	4647.323873155201
485.624	4606.9609086636865	4631.766734319179	4582.155083008198
486.201	4559.732045667134	4584.283571152812	4535.1805201814595
486.777	4449.654321184957	4473.613141653988	4425.695500715928
487.354	4331.561434826649	4354.884393258161	4308.23847639514
487.931	4259.968475839812	4282.90594750597	4237.031004173656
488.508	4177.423600137901	4199.916615287929	4154.930584987876
489.084	4090.909175948918	4112.936360855177	4068.8819910426614
489.661	3982.3472690537296	4003.7899107462167	3960.9046273612444
490.238	3905.2306457871377	3926.2580589700246	3884.2032326042527
490.814	3815.3893979101563	3835.93306782374	3794.8457279965746
491.391	3703.5845277002695	3723.5261929142594	3683.6428624862815
491.968	3628.1001284867325	3647.6353537756345	3608.5649031978323
492.545	3562.3443298399447	3581.525498103096	3543.163161576795
493.121	3473.532940498016	3492.2359106857084	3454.8299703103253
493.698	3400.6008081231817	3418.91108086971	3382.2905353766546
494.275	3314.341685619954	3332.1875027749484	3296.495868464962
494.851	3199.5696700442727	3216.797506134321	3182.341833954226
495.428	3151.9711717826017	3168.9427174302627	3134.9996261349424
496.005	3095.0886746685	3111.7539408980724	3078.423408438929
496.582	3024.0443337871784	3040.3270672432695	3007.7616003310886
497.158	2951.0167895679065	2966.906311845117	2935.1272672906975
497.735	2871.5489458491047	2887.0105796515513	2856.0873120466595
498.312	2796.957328894232	2812.0173298887976	2781.8973278996677
498.888	2738.9352106466267	2753.6827960210153	2724.18762527224
499.465	2659.3802643471327	2673.6994922496297	2645.0610364446366
